distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
hot_middle,12,4,0.15,3.291667,3.929167,3.291667,3.982292,3.583333,0.637500,0.000000,0.193671,0.000000
hot_middle,12,4,0.30,3.416667,3.941667,3.416667,3.985417,3.833333,0.525000,0.000000,0.153659,0.000000
hot_middle,16,1,0.00,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,16,1,0.15,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,16,1,0.30,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,16,2,0.00,3.730769,4.000000,3.730769,4.000000,3.923077,0.269231,0.000000,0.072165,0.000000
hot_middle,16,2,0.15,3.921154,4.000000,3.921154,4.000000,4.084615,0.078846,0.000000,0.020108,0.000000
hot_middle,16,2,0.30,4.000000,4.000000,4.000000,4.000000,4.246154,0.000000,0.000000,0.000000,0.000000
hot_middle,16,3,0.00,3.461538,4.000000,3.461538,4.000000,3.846154,0.538462,0.000000,0.155556,0.000000
hot_middle,16,3,0.15,3.692308,4.000000,3.692308,4.000000,4.019231,0.307692,0.000000,0.083333,0.000000
hot_middle,16,3,0.30,3.923077,4.000000,3.923077,4.000000,4.192308,0.076923,0.000000,0.019608,0.000000
hot_middle,16,4,0.00,3.384615,4.000000,3.384615,4.000000,3.576923,0.615385,0.000000,0.181818,0.000000
hot_middle,16,4,0.15,3.659615,4.000000,3.659615,4.000000,3.940385,0.340385,0.000000,0.093011,0.000000
hot_middle,16,4,0.30,3.896154,4.000000,3.896154,4.000000,4.303846,0.103846,0.000000,0.026654,0.000000
hot_middle,20,1,0.00,4.770270,4.770270,4.770270,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,20,1,0.15,4.804730,4.804730,4.804730,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,20,1,0.30,4.839189,4.839189,4.839189,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,20,2,0.00,4.229730,4.229730,4.229730,5.000000,4.459459,0.000000,0.000000,0.000000,0.000000
hot_middle,20,2,0.15,4.345270,4.345270,4.345270,5.000000,4.540541,0.000000,0.000000,0.000000,0.000000
hot_middle,20,2,0.30,4.460811,4.460811,4.460811,5.000000,4.621622,0.000000,0.000000,0.000000,0.000000
hot_middle,20,3,0.00,3.918919,4.054054,3.918919,5.000000,3.918919,0.135135,-0.000000,0.034483,-0.000000
hot_middle,20,3,0.15,4.081081,4.195946,4.081081,5.000000,4.081081,0.114865,0.000000,0.028146,0.000000
hot_middle,20,3,0.30,4.243243,4.337838,4.243243,5.000000,4.243243,0.094595,-0.000000,0.022293,-0.000000
hot_middle,20,4,0.00,3.743243,3.878378,3.743243,4.972973,3.918919,0.135135,0.000000,0.036101,0.000000
hot_middle,20,4,0.15,4.081081,4.195946,4.081081,4.977027,4.081081,0.114865,0.000000,0.028146,0.000000
hot_middle,20,4,0.30,4.243243,4.337838,4.243243,4.981081,4.243243,0.094595,-0.000000,0.022293,-0.000000
hot_middle,24,1,0.00,4.916667,4.916667,4.916667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,24,1,0.15,4.929167,4.929167,4.929167,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,24,1,0.30,4.941667,4.941667,4.941667,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
hot_middle,24,2,0.00,4.583333,4.916667,4.583333,5.000000,4.875000,0.333333,0.000000,0.072727,0.000000
hot_middle,24,2,0.15,4.645833,4.929167,4.645833,5.000000,5.043750,0.283333,0.000000,0.060987,0.000000
hot_middle,24,2,0.30,4.708333,4.941667,4.708333,5.000000,5.212500,0.233333,0.000000,0.049558,0.000000
hot_middle,24,3,0.00,4.166667,4.916667,4.166667,5.000000,4.750000,0.750000,0.000000,0.180000,0.000000
hot_middle,24,3,0.15,4.291667,4.929167,4.291667,5.000000,4.937500,0.637500,0.000000,0.148544,0.000000
hot_middle,24,3,0.30,4.416667,4.941667,4.416667,5.000000,5.125000,0.525000,0.000000,0.118868,0.000000
hot_middle,24,4,0.00,4.041667,4.916667,4.041667,5.000000,4.625000,0.875000,0.000000,0.216495,0.000000
hot_middle,24,4,0.15,4.291667,4.929167,4.291667,5.000000,4.981250,0.637500,0.000000,0.148544,0.000000
hot_middle,24,4,0.30,4.416667,4.941667,4.416667,5.000000,5.337500,0.525000,0.000000,0.118868,0.000000
hot_tail,8,1,0.00,2.545455,2.545455,2.545455,3.000000,2.909091,0.000000,0.000000,0.000000,0.000000
hot_tail,8,1,0.15,2.763636,2.763636,2.763636,3.000000,3.072727,0.000000,0.000000,0.000000,0.000000
