distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
zipf,8,4,0.30,greedy,3.000000,3.000000,3.000000,0.038167,0.000000
zipf,8,4,0.30,balanced,3.000000,3.000000,3.000000,0.010167,0.000000
zipf,8,4,0.30,weighted,3.077092,2.681559,4.000000,0.012208,0.077092
zipf,12,2,0.00,exact,3.173934,3.173934,5.000000,0.411417,0.000000
zipf,12,2,0.00,beam,3.173934,3.173934,5.000000,1.034542,0.000000
zipf,12,2,0.00,greedy,3.328652,3.328652,4.000000,0.134625,0.154718
zipf,12,2,0.00,balanced,4.000000,4.000000,4.000000,0.007167,0.826066
zipf,12,2,0.00,weighted,3.297462,3.297462,5.000000,0.010875,0.123528
zipf,12,2,0.15,exact,3.429354,3.328652,4.000000,0.407708,0.000000
zipf,12,2,0.15,beam,3.429354,3.328652,4.000000,1.028042,0.000000
zipf,12,2,0.15,greedy,3.429354,3.328652,4.000000,0.133833,0.000000
zipf,12,2,0.15,balanced,4.000000,4.000000,4.000000,0.007000,0.570646
zipf,12,2,0.15,weighted,3.552843,3.297462,5.000000,0.010584,0.123488
zipf,12,2,0.30,exact,3.530057,3.328652,4.000000,0.403167,0.000000
zipf,12,2,0.30,beam,3.530057,3.328652,4.000000,1.024625,0.000000
zipf,12,2,0.30,greedy,3.530057,3.328652,4.000000,0.133500,0.000000
zipf,12,2,0.30,balanced,4.000000,4.000000,4.000000,0.006875,0.469943
zipf,12,2,0.30,weighted,3.808224,3.297462,5.000000,0.010667,0.278167
zipf,12,3,0.00,exact,3.157438,3.157438,5.000000,1.224083,0.000000
zipf,12,3,0.00,beam,3.157438,3.157438,5.000000,2.839834,0.000000
zipf,12,3,0.00,greedy,3.328652,3.328652,4.000000,0.133625,0.171214
zipf,12,3,0.00,balanced,4.000000,4.000000,4.000000,0.008833,0.842562
zipf,12,3,0.00,weighted,3.297462,3.297462,5.000000,0.013791,0.140024
zipf,12,3,0.15,exact,3.315225,3.194383,4.000000,1.249583,0.000000
zipf,12,3,0.15,beam,3.315225,3.194383,4.000000,2.926625,0.000000
zipf,12,3,0.15,greedy,3.429354,3.328652,4.000000,0.134416,0.114129
zipf,12,3,0.15,balanced,4.000000,4.000000,4.000000,0.008834,0.684775
zipf,12,3,0.15,weighted,3.552843,3.297462,5.000000,0.012834,0.237618
zipf,12,3,0.30,exact,3.436068,3.194383,4.000000,1.243458,0.000000
zipf,12,3,0.30,beam,3.436068,3.194383,4.000000,2.884833,0.000000
zipf,12,3,0.30,greedy,3.530057,3.328652,4.000000,0.133625,0.093989
zipf,12,3,0.30,balanced,4.000000,4.000000,4.000000,0.009000,0.563932
zipf,12,3,0.30,weighted,3.808224,3.297462,5.000000,0.012917,0.372156
zipf,12,4,0.00,exact,3.157438,3.157438,5.000000,2.547125,0.000000
zipf,12,4,0.00,beam,3.157438,3.157438,5.000000,4.612166,0.000000
zipf,12,4,0.00,greedy,3.328652,3.328652,4.000000,0.134709,0.171214
zipf,12,4,0.00,balanced,3.973146,3.973146,4.000000,0.010833,0.815708
zipf,12,4,0.00,weighted,3.297462,3.297462,5.000000,0.016250,0.140024
zipf,12,4,0.15,exact,3.315225,3.194383,4.000000,2.564875,0.000000
zipf,12,4,0.15,beam,3.315225,3.194383,4.000000,4.587125,0.000000
zipf,12,4,0.15,greedy,3.429354,3.328652,4.000000,0.134292,0.114129
zipf,12,4,0.15,balanced,3.977174,3.973146,4.000000,0.010416,0.661949
zipf,12,4,0.15,weighted,3.552843,3.297462,5.000000,0.015917,0.237618
zipf,12,4,0.30,exact,3.436068,3.194383,4.000000,2.597125,0.000000
zipf,12,4,0.30,beam,3.436068,3.194383,4.000000,4.687584,0.000000
zipf,12,4,0.30,greedy,3.530057,3.328652,4.000000,0.135250,0.093989
zipf,12,4,0.30,balanced,3.981202,3.973146,4.000000,0.010583,0.545134
zipf,12,4,0.30,weighted,3.808224,3.297462,5.000000,0.016208,0.372156
zipf,16,2,0.00,exact,3.579836,3.579836,5.000000,0.719792,0.000000
zipf,16,2,0.00,beam,3.579836,3.579836,5.000000,2.216250,0.000000
zipf,16,2,0.00,greedy,3.663226,3.663226,6.000000,0.190541,0.083390
zipf,16,2,0.00,balanced,4.000000,4.000000,4.000000,0.007333,0.420164
zipf,16,2,0.00,weighted,3.619627,3.619627,5.000000,0.011125,0.039791
zipf,16,2,0.15,exact,3.792860,3.579836,5.000000,0.717791,0.000000
