distribution,n,budget,eta,candidate_limit,exact_objective,restricted_objective,beam_objective,candidate_pruning_gap,beam_truncation_gap,total_gap,decomposition_residual
zipf,12,3,0.0,16,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,3,0.0,32,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,3,0.15,4,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,3,0.15,8,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,3,0.15,16,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,3,0.15,32,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,3,0.3,4,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,3,0.3,8,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,3,0.3,16,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,3,0.3,32,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,4,0.0,4,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,4,0.0,8,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,4,0.0,16,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,4,0.0,32,3.1574382999500124,3.1574382999500124,3.15743829995,0.0,-1.2434497875801753e-14,-1.2434497875801753e-14,0.0
zipf,12,4,0.15,4,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,4,0.15,8,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,4,0.15,16,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,4,0.15,32,3.3152253519489427,3.3152253519489427,3.315225351949,0.0,5.728750807065808e-14,5.728750807065808e-14,0.0
zipf,12,4,0.3,4,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,4,0.3,8,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,4,0.3,16,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,12,4,0.3,32,3.4360679368991294,3.4360679368991294,3.436067936899,0.0,-1.2922996006636822e-13,-1.2922996006636822e-13,0.0
zipf,16,2,0.0,4,3.5798357437681583,3.619627105274282,3.619627105274,0.039791361506123835,-2.8199664825478976e-13,0.03979136150584184,0.0
zipf,16,2,0.0,8,3.5798357437681583,3.619627105274282,3.619627105274,0.039791361506123835,-2.8199664825478976e-13,0.03979136150584184,0.0
