horizon,n,workload,implementation,operations,ns_per_operation,baseline_ns_per_operation,ratio_to_direct,checksum,baseline_checksum
50000,16,update_to_range,static_fenwick_checked,50000,5.70916,6.425,0.888585214008,-2037500,-2037500
50000,16,update_to_range,static_fenwick_unchecked,50000,6.4225,5.63166,1.14909932798,-2037500,-2037500
50000,16,update_to_range,fast_checked,50000,19.43334,7.6175,2.49627321645,-2037500,-2037500
50000,16,update_to_range,fast_unchecked,50000,13.755,5.63666,2.19869922969,-2037500,-2037500
50000,16,update_to_range,fast_detached_data_plane,50000,7.91416,6.3575,1.32704050334,-2037500,-2037500
50000,16,alternating,frozen_fenwick_checked,50000,5.73,4.6225,1.17106266131,1586969,1586969
50000,16,alternating,frozen_fenwick_unchecked,50000,5.115,4.6975,1.01054124363,1586969,1586969
50000,16,alternating,static_fenwick_checked,50000,4.90584,4.785,1.04844631974,1586969,1586969
50000,16,alternating,static_fenwick_unchecked,50000,4.52832,4.96834,0.993597366978,1586969,1586969
50000,16,alternating,fast_checked,50000,15.55916,4.56668,3.26424976009,1586969,1586969
50000,16,alternating,fast_unchecked,50000,13.23916,5.17584,2.57532626873,1586969,1586969
50000,16,alternating,fast_detached_data_plane,50000,9.37666,5.73582,1.55394977311,1586969,1586969
50000,16,short_phases,frozen_fenwick_checked,50000,6.3725,5.715,1.09858007898,-24448,-24448
50000,16,short_phases,frozen_fenwick_unchecked,50000,6.28334,6.64584,1.03836517596,-24448,-24448
50000,16,short_phases,static_fenwick_checked,50000,7.32334,6.26834,0.967993079585,-24448,-24448
50000,16,short_phases,static_fenwick_unchecked,50000,6.60834,5.73584,1.01344902386,-24448,-24448
50000,16,short_phases,fast_checked,50000,17.755,6.0025,2.89605770832,-24448,-24448
50000,16,short_phases,fast_unchecked,50000,14.19084,6.64082,2.45740360142,-24448,-24448
50000,16,short_phases,fast_detached_data_plane,50000,8.92918,6.0675,1.46284990866,-24448,-24448
50000,16,read_mostly,frozen_fenwick_checked,50000,5.645,3.07666,1.72547162891,2575004,2575004
50000,16,read_mostly,frozen_fenwick_unchecked,50000,5.75082,3.06084,1.64554137732,2575004,2575004
50000,16,read_mostly,static_fenwick_checked,50000,2.31168,2.44666,0.978782798002,2575004,2575004
50000,16,read_mostly,static_fenwick_unchecked,50000,2.23332,2.47916,0.887397344262,2575004,2575004
50000,16,read_mostly,fast_checked,50000,17.70584,2.25418,7.66520175439,2575004,2575004
50000,16,read_mostly,fast_unchecked,50000,13.75584,2.75918,4.95918134191,2575004,2575004
50000,16,read_mostly,fast_detached_data_plane,50000,8.56,3.18584,2.72325038294,2575004,2575004
50000,64,stable_points,frozen_fenwick_checked,50000,3.52416,2.38668,1.60683459869,1625000,1625000
50000,64,stable_points,frozen_fenwick_unchecked,50000,2.90082,1.95918,1.54562294662,1625000,1625000
50000,64,stable_points,static_fenwick_checked,50000,2.2175,1.96584,1.10186335404,1625000,1625000
50000,64,stable_points,static_fenwick_unchecked,50000,1.6675,1.50668,1.03538906735,1625000,1625000
50000,64,stable_points,fast_checked,50000,14.7175,1.98834,7.95842126789,1625000,1625000
50000,64,stable_points,fast_unchecked,50000,14.38582,2.58918,6.39950278293,1625000,1625000
